iter	Passed	Remaining
1502	61392	61147
1503	61438	61111
1504	61481	61073
1505	61518	61028
1506	61564	60992
1507	61606	60952
1508	61647	60911
1509	61689	60872
1510	61729	60830
1511	61770	60790
1512	61810	60748
1513	61856	60712
1514	61896	60671
1515	61937	60630
1516	61979	60590
1517	62021	60550
1518	62066	60513
1519	62107	60472
1520	62146	60430
1521	62189	60391
1522	62223	60343
1523	62264	60303
1524	62304	60261
1525	62347	60223
1526	62386	60180
1527	62422	60135
1528	62461	60092
1529	62499	60048
1530	62533	60000
1531	62570	59956
1532	62611	59916
1533	62651	59874
1534	62696	59837
1535	62734	59793
1536	62772	59750
1537	62816	59712
1538	62857	59671
1539	62902	59634
1540	62945	59595
1541	62984	59553
1542	63023	59510
1543	63061	59467
1544	63103	59427
1545	63141	59384
1546	63185	59346
1547	63227	59306
1548	63266	59263
1549	63304	59220
1550	63350	59184
1551	63390	59142
1552	63428	59098
1553	63466	59055
1554	63504	59011
1555	63548	58974
1556	63586	58931
1557	63628	58890
1558	63660	58841
1559	63702	58802
1560	63743	58761
1561	63780	58717
1562	63816	58671
1563	63854	58628
1564	63890	58583
1565	63929	58540
1566	63970	58499
1567	64008	58456
1568	64045	58412
1569	64083	58369
1570	64123	58327
1571	64167	58289
1572	64216	58255
1573	64255	58214
1574	64294	58171
1575	64340	58134
1576	64382	58095
1577	64417	58048
1578	64458	58008
1579	64496	57965
1580	64538	57925
1581	64571	57877
1582	64613	57837
1583	64663	57805
1584	64705	57765
1585	64746	57724
1586	64788	57685
1587	64822	57637
1588	64860	57594
1589	64900	57553
1590	64939	57510
1591	64980	57470
1592	65015	57423
1593	65062	57389
1594	65100	57346
1595	65140	57304
1596	65180	57262
1597	65222	57222
1598	65259	57178
1599	65306	57143
1600	65343	57099
1601	65391	57064
1602	65440	57030
1603	65486	56994
1604	65525	56952
1605	65571	56915
1606	65615	56877
1607	65666	56845
1608	65699	56798
1609	65739	56756
1610	65778	56714
1611	65817	56671
1612	65860	56633
1613	65900	56590
1614	65940	56549
1615	65980	56508
1616	66020	56466
1617	66062	56426
1618	66099	56382
1619	66138	56339
1620	66180	56300
1621	66219	56257
1622	66257	56215
1623	66294	56170
1624	66337	56131
1625	66376	56089
1626	66420	56051
1627	66459	56008
1628	66498	55966
1629	66537	55924
1630	66578	55883
1631	66623	55845
1632	66670	55810
1633	66715	55772
1634	66756	55732
1635	66806	55699
1636	66847	55658
1637	66888	55618
1638	66931	55578
1639	66968	55535
1640	67006	55491
1641	67045	55449
1642	67085	55408
1643	67127	55367
1644	67163	55322
1645	67207	55284
1646	67247	55243
1647	67286	55201
1648	67328	55160
1649	67365	55117
1650	67409	55078
1651	67447	55035
1652	67490	54996
1653	67536	54960
1654	67577	54919
1655	67622	54881
1656	67660	54838
1657	67707	54802
1658	67747	54761
1659	67790	54722
1660	67839	54688
